id;skill;name;skills;date;address;contract_type;qualification;experience;languages
166DXFK;python;LLTECH MANAGEMENT;Améliorer la qualité des images,Analyse Dynamic Cell Imaging et Diagnostic,Computer Vision,Application web,Concevoir une application web,Methode Agile,Programmation (Python, C++),Utilisation de Frameworks;Actualisé le 20 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Cadre;6 mois;Anglais
165ZZMZ;python;SETELIA;1ère expérience en Réseaux et Télécommunications,Anglais technique,Réseaux de télécommunication,Architecture réseau,Concevoir et gérer un projet,Réseaux informatiques et télécoms,Informatique : C ; C++ ; Python ; Linux,Méthodologie Agile et SCRUM,Réseaux IMS et SS7;Actualisé le 20 décembre 2023;75 - PARIS 02;Contrat à durée indéterminée;Cadre;Débutant accepté;
165WQSP;python;W4TCH;Application web,Concevoir une application web,Coder,CSS,Développer une application en lien avec une base de données,HTML,Intégrer des outils IA/Data Science,PHP,Python,SQL;Actualisé le 20 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Technicien;2 ans;
165NGCB;python;CENTRE FOR ECONOMIC POLICY RESEARCH CEPR;3 ans d'experience à l'étranger,API et hooks des core systems Drupal,Application web,Codage en PHP et Drupal (7,8,9),Concevoir une application web,Création et de suivi de modules Drupal spéciaux,Langages back-end (PHP, Javascript, SQL),Langages Laravel 8/9/10,Langages REST / REACT / Python,Linux (Ubuntu >18.04 LTS) par command line,Management de projets sous JIRA,Utilisation de systèmes CRM;Actualisé le 20 décembre 2023;75 - PARIS 07;Contrat à durée indéterminée;Agent de maîtrise;3 ans;
164YKZV;python;WAKEO;Actualiser régulièrement ses connaissances,Animer une démarche agile et innovante,Application web,Coder,Communiquer à l'oral en langue étrangère,Communiquer à l'écrit en langue étrangère,Concevoir et développer une solution digitale,Concevoir une application web,Créer une documentation technique,Déterminer des mesures correctives,Développer un logiciel, un système d'informations, une application,Préparer et animer une réunion, un groupe de travail, un atelier,Python,Ruby,Proposer des pistes d'amélioration des solutions,Structurer, synthétiser des informations,Tester un logiciel, un système d'informations, une application,Vérifier la compatibilité des développements produits avec les spécifications;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;5 ans;Anglais
166LHSN;python;SAS K-LAGAN FRANCE;;Actualisé le 20 décembre 2023;75 - PARIS 16;Contrat à durée indéterminée;Cadre;2 ans;
166BKXD;python;POLYCONSEIL;Application web,Concevoir une application web;Actualisé le 20 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;6 mois;Français
165XBHS;python;NUKKAI;Application web,Concevoir une application web,Déterminer des mesures correctives;Actualisé le 19 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Employé qualifié;3 ans - débutant accepté si compétences;Anglais
166BKSB;python;POLYCONSEIL;;Actualisé le 20 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;1 an;Français
166NDTQ;python;BRAIN WORK OFFICE;Assurer un support commercial soutenu : prospection, vente de produits et services additionnels,Développer et fidéliser la relation client,Développer l'esprit d'équipe,Goût de la prospection téléphonique,Maîtrise des outils informatiques (Internet, messagerie électronique) et bureautiques (Word, Excel, PowerPoint),Maîtrise des techniques de vente à distance et de négociation,Répondre à un appel d'offre,Techniques commerciales;Actualisé le 19 décembre 2023;75 - PARIS 11;Contrat à durée indéterminée;Agent de maîtrise;2 ans;
166MYSS;python;MIND7 CONSULTING;Application web,Concevoir une application web,Java,Réaliser des études et développements informatiques;Actualisé le 20 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Cadre;2 ans;
166MWSL;python;MIND7 CONSULTING;Application web,Concevoir une application web,Java,SQL;Actualisé le 20 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Cadre;3 ans;
166LTKZ;python;LBESOFT;Application web,Concevoir une application web;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;4 ans;
166LMJM;python;SINTEL;Dessiner des avant-projets (roughs, croquis) à partir du concept, des thèmes définis,Identifier les contraintes d'un projet,Opérer des choix techniques, esthétiques, économiques pour un produit,Présenter une maquette, prototype à un client,Étudier la fonctionnalité d'un produit;Actualisé le 20 décembre 2023;75 - PARIS 01;Mission intérimaire - 3 Mois;Employé qualifié;2 ans;
166JJXK;python;ALEGRIA.TECH;Application web,Assembler des composants logiciels,Concevoir une application web,Paramétrer un logiciel, un outil, un système numérique;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 12 Mois;Employé qualifié;Débutant accepté;
166GZKT;python;SELENE;Application web,Concevoir une application web;Actualisé le 20 décembre 2023;75 - PARIS 16;Contrat à durée indéterminée;Cadre;4 ans;
166GTFM;python;SNCF GARE DE ST DENIS STADE DE FRANCE;Organiser le traitement des commandes,Réceptionner des produits, des matières premières, vérifier la conformité d'une livraison,Rédiger un rapport, un compte rendu d'activité,Superviser des opérations, des actions;Actualisé le 15 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Cadre;Débutant accepté;
166FSFR;python;EPROC FACTORY;4D,Application web,C/C++,Concevoir une application web,CSS,Java;Actualisé le 19 décembre 2023;75 - PARIS 19;Contrat à durée indéterminée;Cadre;5 ans;
166DVLG;python;SNCF ST DENIS 2 PL AUX ETOILES;Organiser une opération logistique de transport,Suivre la mise en place et la réalisation des plans d'action logistiques et contrôler la conformité d'application,Superviser l'acheminement de produits,Synchroniser les activités logistiques avec le cahier des charges;Actualisé le 14 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Cadre;Débutant accepté;
166DRSR;python;NTT CORPORATE;;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Employé qualifié;5 ans;Anglais
166MKWV;java;NOURY SOLUTIONS;Application web,Architecture web,Coder,Concevoir une application web,Java,Méthodologie Scrum,Paramétrer un logiciel, un outil, un système numérique;Actualisé le 19 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;2 ans;
166DSTR;java;DRIMS;Application web,Concevoir une application web,Recueillir et analyser les besoins client,Rédiger un cahier des charges, des spécifications techniques,Surveiller le fonctionnement d'applicatifs et logiciels;Actualisé le 12 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;2 ans;Anglais
165YRZK;java;EKIRFA CONSULTING;Java,Concevoir une application web,Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...);Actualisé le 18 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;5 ans;
165XPRY;java;FEDERATION POUR L'ENTREPRENEURIAT DURABL;Application web,C/C++,Concevoir une application web,Java;Actualisé le 07 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;10 ans;
165JCMZ;java;Unknown;Application web,Concevoir une application web,Développer une application en lien avec une base de données,Java,PHP,SQL,XML,Experience  React Native ( 1 an) ,,experience ionic;Actualisé le 18 décembre 2023;75 - PARIS 17;Contrat à durée indéterminée;Cadre;1 an;
166PXZH;java;SERVICES MARKETING DIVERSIFIES;;Actualisé le 20 décembre 2023;75 - PARIS 20;Contrat à durée indéterminée;Cadre;7 ans;Anglais
166PJKW;java;CENTRE BUS BELLIARD;Application web,Concevoir une application web;Actualisé le 20 décembre 2023;75 - PARIS 12;Contrat à durée indéterminée;Cadre;7 ans;
166NNDF;java;JEHANN;Améliorer un système d'information,Analyser les performances d'un système d'information,Gérer la sécurité informatique;Actualisé le 20 décembre 2023;75 - PARIS 15;Contrat à durée déterminée - 12 Mois;Employé qualifié;1 an;
166KPVG;java;FEDERATION POUR L'ENTREPRENEURIAT DURABL;Application web,Concevoir une application web,Déterminer des mesures correctives,Réaliser un diagnostic technique,Surveiller le fonctionnement d'applicatifs et logiciels;Actualisé le 19 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Technicien;Débutant accepté;
166KHZG;java;FEDERATION POUR L'ENTREPRENEURIAT DURABL;Application web,Concevoir une application web;Actualisé le 18 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;1 mois;
166HGVL;java;FEDERATION POUR L'ENTREPRENEURIAT DURABL;;Actualisé le 17 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;2 ans;
166DMCN;java;Unknown;Application web,Concevoir une application web;Actualisé le 18 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;2 ans;
166CDYV;java;CENTRE BUS BELLIARD;Analyser les processus métier,Concevoir et gérer un projet,Présenter les évolutions du système d'information au commanditaire,Recenser les besoins du commanditaire,Élaborer des solutions techniques et fonctionnelles;Actualisé le 20 décembre 2023;75 - PARIS 12;Contrat à durée indéterminée;Cadre;7 ans;
166BXSZ;java;Unknown;Administrer un système d'informations,Apporter une assistance technique,Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives,Installer et intégrer le matériel (station, équipement réseau, périphériques, ...) dans l'environnement de production et configurer les ressources logistiques et physiques,Réaliser la maintenance de premier niveau;Actualisé le 18 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;Débutant accepté;Anglais
165VHQW;html;A.R.C.;Analyser, exploiter, structurer des données,Application web,C/C++,Coder,HTML,Paramétrer un logiciel, un outil, un système numérique,Réaliser des études et développements informatiques,SQL,Concevoir une application web,Développer une application en lien avec une base de données,Garantir le bon fonctionnement, la disponibilité et la performance d'une solution logicielle,Gérer et déployer des logiciels à distance,Respecter la confidentialité des informations,Réaliser la mise en production de solutions logicielles dans un environnement d'exploitation,Réseaux informatiques et télécoms,Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...),Tester un logiciel, un système d'informations, une application,Visual Basic,Vérifier la compatibilité des développements produits avec les spécifications;Actualisé le 20 décembre 2023;75 - PARIS 14;Contrat à durée indéterminée;Cadre;Débutant accepté;
8330636;html;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8257536;html;PRICEWATERHOUSECOOPERS AUDIT;;Publié le 19 décembre 2023;75 - PARIS 04;Contrat à durée indéterminée;Cadre;Expérience exigée de 1 An(s);
8212786;html;Unknown;;Publié le 19 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Technicien;Débutant accepté;
7812336;html;MOBYLIZ;;Actualisé le 19 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;Expérience exigée de 3 An(s);
5900341;html;Unknown;;Publié le 14 novembre 2023;75 - PARIS 01;Contrat à durée déterminée - 24 Mois;Agent de maîtrise;Débutant accepté;
4231345;html;Unknown;;Actualisé le 28 septembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Technicien;Expérience exigée;
8131871;html;Unknown;;Actualisé le 28 septembre 2023;75 - PARIS 01;Contrat à durée déterminée - 24 Mois;Technicien;Débutant accepté;
8258468;html;Unknown;;Publié le 19 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
8109142;html;Unknown;;Publié le 16 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
8039184;html;Unknown;;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
8039151;html;Unknown;;Publié le 15 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
8038142;html;Unknown;;Actualisé le 19 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
7980079;html;Unknown;;Publié le 14 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
7643199;html;Unknown;;Publié le 09 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
7641529;html;Unknown;;Publié le 09 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
7455446;html;Unknown;;Actualisé le 07 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
7453768;html;Unknown;;Actualisé le 07 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Débutant accepté;
7301192;html;Unknown;;Publié le 05 décembre 2023;75 - Paris (Dept.);Contrat à durée déterminée - 36 Mois;Unknown;Expérience exigée de 2 An(s);
166HPBM;angular;OGF;Concevoir et gérer un projet,Déterminer des axes d'évolution technologiques,Identifier les contraintes d'un projet,Élaborer des propositions techniques;Actualisé le 15 décembre 2023;75 - PARIS 19;Contrat à durée indéterminée;Cadre;3 ans;
166BQWT;angular;LUCCA;Application web,ASP.NET,C#,Coder,Concevoir et développer une solution digitale,Concevoir une application web,Développer une application en lien avec une base de données;Actualisé le 18 décembre 2023;75 - PARIS 13;Contrat à durée indéterminée;Cadre;48 mois;
165YCPM;angular;GROUPBEES;Analyser les processus métier,Animer, coordonner une équipe,Cloud GCP, AZURE et AWS,Concevoir l'architecture d'un système, d'un réseau,Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires,Participer à la mise en place d'un Progiciel de Gestion Intégré (PGI),Piloter la gestion de la production, de l'exploitation,Progiciels spécifiques à la logistique,Présenter les évolutions du système d'information au commanditaire,Recenser les besoins du commanditaire,Réseaux informatiques et télécoms,Technologies de l'accessibilité numérique,Élaborer des solutions techniques et fonctionnelles,Évaluer les risques SIC (système information et communication);Actualisé le 15 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Cadre;4 ans;
165XMRM;angular;FEDERATION POUR L'ENTREPRENEURIAT DURABL;Analyser, exploiter, structurer des données,Application web,Assembler des composants logiciels,Coder,Concevoir la cartographie fonctionnelle du SI,Concevoir une application web,Développer une application en lien avec une base de données,Gérer et déployer des logiciels à distance,Informatique de gestion,Intégrer des outils IA/Data Science,Paramétrer un logiciel, un outil, un système numérique,Piloter des évolutions ou des paramétrages à apporter aux composants,Réaliser des études et développements informatiques,Réaliser la mise en production de solutions logicielles dans un environnement d'exploitation,Superviser et coordonner les réalisations, études ou développements informatiques (collaborateurs, sous-traitants),Sélectionner, assembler et intégrer des composants informatiques (progiciels, bases de données, développements spécifiques, ...),Tester un logiciel, un système d'informations, une application,Vérifier la compatibilité des développements produits avec les spécifications;Actualisé le 20 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Cadre;3 ans;
165THZY;angular;STORYZY;Application web,Concevoir une application web,Déterminer des mesures correctives,Recueillir et analyser les besoins client,Rédiger un cahier des charges, des spécifications techniques;Actualisé le 18 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;2 ans;Anglais
165MZSG;angular;Unknown;;Actualisé le 19 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Cadre;2 ans;
165CTBD;angular;Unknown;Application web,Concevoir une application web;Actualisé le 11 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;2 ans;
8338828;angular;Unknown;;Actualisé le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8338216;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8338098;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8338034;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337991;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337944;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8337865;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337825;angular;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337601;react js;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8331798;react js;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8330583;react js;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8330452;react js;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8239603;react js;Unknown;;Publié le 19 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
8228383;react js;Unknown;;Publié le 19 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
8055093;react js;ALGOFI;;Publié le 15 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
7977630;react js;Qare;;Publié le 14 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;Expérience exigée de 4 An(s);
7954146;react js;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7953652;react js;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Débutant accepté;
7952842;react js;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7952243;react js;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Débutant accepté;
7921470;react js;MICHAEL PAGE INTERNATIONAL FRANCE;;Actualisé le 13 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
7921012;react js;MICHAEL PAGE INTERNATIONAL FRANCE;;Publié le 13 décembre 2023;75 - PARIS 17;Contrat à durée indéterminée;Cadre;Débutant accepté;
7911698;react js;Qare;;Publié le 13 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;Expérience exigée de 4 An(s);
7910717;react js;MICHAEL PAGE INTERNATIONAL FRANCE;;Publié le 13 décembre 2023;75 - PARIS 17;Contrat à durée indéterminée;Cadre;Débutant accepté;
7881071;react js;Unknown;;Publié le 13 décembre 2023;75;Contrat à durée indéterminée;Unknown;Débutant accepté;
7449339;react js;Unknown;;Publié le 07 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
7400024;react js;Unknown;;Publié le 06 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Unknown;Expérience exigée de 6 An(s);
7234521;react js;UNLCK;;Actualisé le 18 décembre 2023;75 - PARIS 02;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
166JVQJ;javascript;ROGERVOICE;Application web,Concevoir une application web,Déterminer des mesures correctives,Recueillir et analyser les besoins client,Rédiger un cahier des charges, des spécifications techniques;Actualisé le 15 décembre 2023;75 - PARIS 10;Contrat à durée indéterminée;Cadre;7 ans;
166DPHX;javascript;MATEN;Application web,Concevoir une application web,JavaScript,Node.js,Vue.js,MongoDB;Actualisé le 20 décembre 2023;75 - PARIS 16;Contrat à durée indéterminée;Cadre;4 ans;
166CGXD;javascript;ABIL RESSOURCES;ASP.NET,Domain-Driven Design (DDD),Javascript;Actualisé le 11 décembre 2023;75 - PARIS 02;Contrat à durée indéterminée;Cadre;5 ans;
165QSDM;javascript;CLEAR EXPRESS;Application web,Communiquer auprès de ses clients internes et externes,Communiquer à l'oral en langue étrangère,Communiquer à l'écrit en langue étrangère,Concevoir une application web,JavaScript,Springboot,vue;Actualisé le 18 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Employé qualifié;1 an;
8337853;javascript;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337748;javascript;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8335537;javascript;Seyos;;Publié le 20 décembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
8332071;javascript;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
7812772;javascript;IDEAL SOURCING;;Publié le 12 décembre 2023;75 - PARIS 14;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
7785284;javascript;Unknown;;Publié le 12 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7301203;javascript;ROGERVOICE;;Publié le 05 décembre 2023;75 - PARIS 10;Contrat à durée indéterminée;Cadre;Expérience exigée de 7 An(s);
7238248;javascript;HILT TECHNOLOGY ENGINEERING LTD;;Publié le 04 décembre 2023;75 - PARIS 04;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
7237605;javascript;CHELA +;;Actualisé le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 3 An(s);
7108097;javascript;Unknown;;Publié le 02 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7098603;javascript;Unknown;;Publié le 01 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
6798966;javascript;Unknown;;Publié le 27 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
6782805;javascript;MEEDZ;;Publié le 27 novembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
6688478;javascript;Unknown;;Publié le 25 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
6685830;javascript;Unknown;;Publié le 25 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
8337851;go;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8258256;go;WESEARCH;;Publié le 19 décembre 2023;75 - PARIS 02;Contrat à durée indéterminée;Cadre;Expérience exigée de 8 An(s);
8252590;go;ADEQUENCE;;Publié le 19 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 3 An(s);
7940839;go;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Ouvrier spécialisé;Expérience exigée;
7784550;go;Unknown;;Publié le 12 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Technicien;Expérience exigée;
7682126;go;Unknown;;Actualisé le 17 décembre 2023;75 - Paris (Dept.);Contrat à durée indéterminée;Unknown;Expérience exigée;
7618736;go;Unknown;;Publié le 09 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7307484;go;SB PARTNERS;;Publié le 05 décembre 2023;75 - PARIS 05;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
6835704;go;DA FONSECA PEREIRA AREIL ANA ISABEL;;Actualisé le 11 décembre 2023;75 - PARIS 19;Contrat à durée indéterminée;Cadre;Expérience exigée de 3 An(s);
6099757;go;Unknown;;Publié le 16 novembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
5628622;go;Unknown;;Publié le 08 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
3257513;go;Unknown;;Publié le 30 septembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
1766385;go;Unknown;;Actualisé le 19 octobre 2023;75 - PARIS 01;Contrat à durée indéterminée;Employé qualifié;Expérience exigée;
8338151;android;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8337939;android;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Débutant accepté;
8331651;android;Unknown;;Publié le 20 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Unknown;Expérience exigée;
8245213;android;Unknown;;Publié le 19 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
8238952;android;Unknown;;Publié le 19 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
7979054;android;EXALT IT;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 1 An(s);
7966778;android;Unknown;;Actualisé le 14 décembre 2023;75;Profession libérale;Unknown;Débutant accepté;
7939012;android;Unknown;;Publié le 14 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Agent de maîtrise;Expérience exigée;
7807467;android;MOBYLIZ;;Actualisé le 19 décembre 2023;75 - PARIS 09;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
7617163;android;Unknown;;Publié le 09 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Technicien;Expérience exigée;
7544574;android;May Partners Conseil;;Actualisé le 20 décembre 2023;75 - PARIS 15;Contrat à durée indéterminée;Cadre;Expérience exigée de 3 An(s);
7234459;android;May Partners Conseil;;Actualisé le 20 décembre 2023;75 - PARIS 15;Contrat à durée indéterminée;Cadre;Expérience exigée de 2 An(s);
7076328;android;TRAX;;Publié le 01 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 4 An(s);
6928415;android;ADENTIS;;Publié le 29 novembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Débutant accepté;
6686137;android;Unknown;;Actualisé le 25 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
6137566;android;Iliad;;Actualisé le 30 novembre 2023;75 - PARIS 08;Contrat à durée indéterminée;Unknown;Expérience exigée;
5631410;android;Unknown;;Publié le 08 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
5627390;android;Unknown;;Publié le 08 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
5626650;android;Unknown;;Publié le 08 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
4634242;android;Iliad;;Publié le 21 octobre 2023;75 - PARIS 08;Contrat à durée indéterminée;Unknown;Expérience exigée;
7426783;flutter;Unknown;;Publié le 07 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
7235459;flutter;corinne khalifat;;Publié le 04 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
7086958;flutter;Unknown;;Actualisé le 07 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
6964953;react js;Unknown;;Publié le 29 novembre 2023;75;Profession libérale;Unknown;Débutant accepté;
5899369;javascript;Unknown;;Actualisé le 08 décembre 2023;75 - PARIS 01;Contrat à durée indéterminée;Cadre;Expérience exigée;
5843186;javascript;CGILANUM;;Actualisé le 11 décembre 2023;75 - PARIS 17;Contrat à durée indéterminée;Cadre;Expérience exigée de 5 An(s);
